Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
343,89.5769,88.8132,0.0174794,0.0266633
344,89.4451,89.7882,0.0174126,0.0277994
345,89.7185,89.3972,0.0174827,0.021119
346,89.5206,88.6556,0.0174678,0.0340002
347,89.4618,88.6535,0.0173529,0.0376515
348,89.64,89.3882,0.0172922,0.0202861
349,89.7252,89.1924,0.017146,0.0249402
350,89.4657,88.0104,0.0173666,0.0449362
351,89.4942,89.0306,0.0173745,0.0327344
352,89.6382,89.3076,0.0173405,0.0205284
353,89.5611,89.3521,0.0173832,0.0200294
354,89.6162,89.0451,0.0174128,0.026346
355,89.8887,89.9174,0.0172269,0.0193036
356,90.1069,90.0125,0.0176856,0.0171152
357,90.1069,90.0125,0.0176856,0.0171152

Training Complete!!! - > Elapsed Epochs: 357 Validation Set Accuracy: 90.2111 Validation Set MSE: 0.0162827
